s1,µA1,s2,µA2,s3,µA3,s4,µA4
0,0.000625,0,0.000625,0,0.000625,0,0.000625
0.25,0.00625,0.25,0.00625,0.25,0.00625,0.25,0.00625
0.5,0.0139869,0.5,0.0624018,0.5,0.0624018,0.5,0.0624018
0.75,0.0139595,0.75,0.624566,0.75,0.624566,0.75,0.624566
1,0.0139475,1,0.920084,1,1.47506,1,6.24957
1.25,0.013113,1.25,0.916724,1.25,2.60712,1.25,31.0024
1.5,0.013113,1.5,0.916247,1.5,2.60616,1.5,31.0038
1.75,0.013113,1.75,0.91434,1.75,2.60712,1.75,30.9845
2,0.013113,2,0.919108,2,2.60855,2,30.9709
2.25,0.013113,2.25,0.916724,2.25,2.60831,2.25,30.9609
2.5,0.013113,2.5,0.917678,2.5,2.60902,2.5,30.9435
2.75,0.013113,2.75,0.917201,2.75,2.60855,2.75,30.9213
3,0.013113,3,0.916724,3,2.60914,3,30.9209
3.25,0.013113,3.25,0.917201,3.25,2.6095,3.25,30.9757
3.5,0.013113,3.5,0.91434,3.5,2.6095,3.5,30.9938
3.75,0.013113,3.75,0.915294,3.75,2.6089,3.75,30.9695
4,0.013113,4,0.91434,4,2.60855,4,30.9542
4.25,0.013113,4.25,0.915771,4.25,2.60807,4.25,30.938
4.5,0.013113,4.5,0.917201,4.5,2.60855,4.5,30.9156
4.75,0.013113,4.75,0.915294,4.75,2.61093,4.75,30.9309
5,0.013113,5,0.915294,5,2.60855,5,30.9514
5.25,0.013113,5.25,0.91589,5.25,2.60998,5.25,30.9161
5.5,0.013113,5.5,0.916724,5.5,2.6095,5.5,30.9938
5.75,0.013113,5.75,0.916247,5.75,2.60998,5.75,31.0234
6,0.013113,6,0.917678,6,2.60664,6,30.9833
6.25,0.013113,6.25,0.915294,6.25,2.60998,6.25,31.001
6.5,0.013113,6.5,0.916247,6.5,2.61332,6.5,31.0272
6.75,0.013113,6.75,0.916724,6.75,2.61332,6.75,31.0353
7,0.013113,7,0.916247,7,2.61713,7,31.0291
7.25,0.013113,7.25,0.915771,7.25,2.61475,7.25,31.0281
7.5,0.013113,7.5,0.91732,7.5,2.61761,7.5,30.9528
7.75,0.013113,7.75,0.919108,7.75,2.61761,7.75,30.9061
8,0.013113,8,0.918155,8,2.61713,8,30.9113
8.25,0.013113,8.25,0.919585,8.25,2.61332,8.25,31.0038
8.5,0.013113,8.5,0.917201,8.5,2.61665,8.5,31.0405
8.75,0.013113,8.75,0.918632,8.75,2.60902,8.75,31.0334
9,0.013113,9,0.918632,9,2.60998,9,31.0324
9.25,0.013113,9.25,0.918632,9.25,2.60902,9.25,31.0467
9.5,0.013113,9.5,0.917082,9.5,2.61022,9.5,31.0491
9.75,0.013113,9.75,0.915294,9.75,2.6095,9.75,31.0591
10,0.013113,10,0.915771,10,2.61236,10,31.0544
10.25,0.013113,10.25,0.915771,10.25,2.61427,10.25,31.0377
10.5,0.013113,10.5,0.916247,10.5,2.61332,10.5,31.0148
10.75,0.013113,10.75,0.918632,10.75,2.61475,10.75,31.0157
11,0.013113,11,0.921493,11,2.61713,11,31.0496
11.25,0.013113,11.25,0.925784,11.25,2.61904,11.25,31.0725
11.5,0.013113,11.5,0.92483,11.5,2.6219,11.5,31.0429
11.75,0.013113,11.75,0.928168,11.75,2.61904,11.75,31.02
12,0.013113,12,0.92483,12,2.61475,12,31.0014
12.25,0.013113,12.25,0.920539,12.25,2.61713,12.25,30.9728
12.5,0.013113,12.5,0.921016,12.5,2.61427,12.5,30.9981
12.75,0.013113,12.75,0.9203,12.75,2.61522,12.75,30.9561
13,0.013113,13,0.920062,13,2.61713,13,31.0053
13.25,0.013113,13.25,0.919585,13.25,2.61713,13.25,30.9814
13.5,0.013113,13.5,0.918393,13.5,2.61558,13.5,30.9852
13.75,0.013113,13.75,0.917201,13.75,2.61379,13.75,30.9914
14,0.013113,14,0.916724,14,2.61427,14,30.9986
14.25,0.013113,14.25,0.918632,14.25,2.61391,14.25,31.0167
14.5,0.013113,14.5,0.916247,14.5,2.61379,14.5,31.032
14.75,0.013113,14.75,0.918632,14.75,2.61379,14.75,30.9685
15,0.013113,15,0.917201,15,2.6126,15,31.0248
15.25,0.013113,15.25,0.918632,15.25,2.61093,15.25,31.0005
15.5,0.013113,15.5,0.917678,15.5,2.61189,15.5,31.011
15.75,0.013113,15.75,0.916247,15.75,2.60998,15.75,31.0219
16,0.013113,16,0.917201,16,2.61284,16,30.9967
16.25,0.013113,16.25,0.917201,16.25,2.6157,16.25,30.9766
16.5,0.013113,16.5,0.915771,16.5,2.60998,16.5,30.9519
16.75,0.013113,16.75,0.917201,16.75,2.61522,16.75,30.9571
17,0.013113,17,0.918632,17,2.61284,17,30.9486
17.25,0.013113,17.25,0.919108,17.25,2.61332,17.25,30.9457
17.5,0.013113,17.5,0.919585,17.5,2.61427,17.5,30.9399
17.75,0.013113,17.75,0.920539,17.75,2.61522,17.75,30.9614
18,0.013113,18,0.919108,18,2.61427,18,30.9094
18.25,0.013113,18.25,0.920062,18.25,2.61427,18.25,30.9256
18.5,0.013113,18.5,0.918155,18.5,2.61427,18.5,30.9514
18.75,0.013113,18.75,0.919108,18.75,2.61475,18.75,30.9313
19,0.013113,19,0.919585,19,2.61808,19,30.9533
19.25,0.013113,19.25,0.918632,19.25,2.6157,19.25,30.9976
19.5,0.013113,19.5,0.918632,19.5,2.61761,19.5,31.032
19.75,0.013113,19.75,0.921016,19.75,2.62047,19.75,31.0358
20,0.013113,20,0.921493,20,2.62619,20,31.0277
20.25,0.013113,20.25,0.919585,20.25,2.63191,20.25,31.0487
20.5,0.013113,20.5,0.920539,20.5,2.62333,20.5,30.9747
20.75,0.013113,20.75,0.92185,20.75,2.62285,20.75,31.0024
21,0.013113,21,0.923877,21,2.62381,21,30.9776
21.25,0.013113,21.25,0.9234,21.25,2.61999,21.25,30.9652
21.5,0.013113,21.5,0.9234,21.5,2.61856,21.5,31.0239
21.75,0.013113,21.75,0.921969,21.75,2.62285,21.75,31.0062
22,0.013113,22,0.919585,22,2.61999,22,31.0286
22.25,0.013113,22.25,0.921016,22.25,2.6219,22.25,31
22.5,0.013113,22.5,0.920539,22.5,2.61856,22.5,30.9514
22.75,0.013113,22.75,0.919824,22.75,2.61713,22.75,30.9733
23,0.013113,23,0.920002,23,2.61713,23,30.9933
23.25,0.013113,23.25,0.919585,23.25,2.61618,23.25,30.9991
23.5,0.013113,23.5,0.919213,23.5,2.6157,23.5,30.9964
23.75,0.013113,23.75,0.918632,23.75,2.61808,23.75,31.0034
24,0.013113,24,0.918632,24,2.61856,24,30.99
24.25,0.013113,24.25,0.918632,24.25,2.61951,24.25,31.0014
24.5,0.013113,24.5,0.918155,24.5,2.61761,24.5,30.9938
24.75,0.013113,24.75,0.919108,24.75,2.61856,24.75,30.9862
25,0.013113,25,0.917201,25,2.61987,25,30.9752
25.25,0.013113,25.25,0.921969,25.25,2.6219,25.25,30.9533
25.5,0.013113,25.5,0.924354,25.5,2.62142,25.5,30.9666
25.75,0.013113,25.75,0.924354,25.75,2.62142,25.75,30.938
26,0.013113,26,0.922804,26,2.62381,26,30.929
26.25,0.013113,26.25,0.921493,26.25,2.62428,26.25,30.9271
26.5,0.013113,26.5,0.921016,26.5,2.62428,26.5,30.9519
26.75,0.013113,26.75,0.919108,26.75,2.62524,26.75,30.9495
27,0.013113,27,0.920062,27,2.62297,27,30.9771
27.25,0.013113,27.25,0.921969,27.25,2.62142,27.25,30.9628
27.5,0.013113,27.5,0.919585,27.5,2.62094,27.5,30.949
27.75,0.013113,27.75,0.921016,27.75,2.62428,27.75,30.9676
28,0.013113,28,0.919108,28,2.61999,28,30.9452
28.25,0.013113,28.25,0.920539,28.25,2.62381,28.25,30.9652
28.5,0.013113,28.5,0.919585,28.5,2.62094,28.5,30.9501
28.75,0.013113,28.75,0.920062,28.75,2.62381,28.75,30.9495
29,0.013113,29,0.920062,29,2.62619,29,30.9404
29.25,0.013113,29.25,0.920062,29.25,2.62571,29.25,30.9304
29.5,0.013113,29.5,0.920539,29.5,2.62333,29.5,30.9547
29.75,0.013113,29.75,0.921969,29.75,2.62464,29.75,30.9414
30,0.013113,30,0.922446,30,2.62524,30,30.9895
30.25,0.013113,30.25,0.92185,30.25,2.62428,30.25,31.0305
30.5,0.013113,30.5,0.921493,30.5,2.62428,30.5,31.0172
30.75,0.013113,30.75,0.921493,30.75,2.62381,30.75,30.9952
31,0.013113,31,0.921612,31,2.62285,31,30.9867
31.25,0.013113,31.25,0.921493,31.25,2.62142,31.25,31.0286
31.5,0.013113,31.5,0.921969,31.5,2.6219,31.5,31.0143
31.75,0.013113,31.75,0.919108,31.75,2.62428,31.75,30.9964
32,0.013113,32,0.921969,32,2.62524,32,30.9752
32.25,0.013113,32.25,0.920539,32.25,2.62619,32.25,30.9676
32.5,0.013113,32.5,0.921969,32.5,2.62619,32.5,31.001
32.75,0.013113,32.75,0.921969,32.75,2.62762,32.75,31.0057
33,0.013113,33,0.922446,33,2.62333,33,31.0105
33.25,0.013113,33.25,0.921493,33.25,2.62094,33.25,31.0162
33.5,0.013113,33.5,0.921969,33.5,2.62285,33.5,31.0367
33.75,0.013113,33.75,0.920539,33.75,2.62142,33.75,31.0205
34,0.013113,34,0.922923,34,2.62524,34,31.0539
34.25,0.013113,34.25,0.921493,34.25,2.62142,34.25,31.0487
34.5,0.013113,34.5,0.919585,34.5,2.61999,34.5,31.021
34.75,0.013113,34.75,0.920062,34.75,2.62047,34.75,31.0329
35,0.013113,35,0.921016,35,2.62381,35,31.0463
35.25,0.013113,35.25,0.918632,35.25,2.62619,35.25,31.0467
35.5,0.013113,35.5,0.919585,35.5,2.62047,35.5,31.0458
35.75,0.013113,35.75,0.922446,35.75,2.62667,35.75,31.0329
36,0.013113,36,0.921969,36,2.62953,36,31.0048
36.25,0.013113,36.25,0.923877,36.25,2.62857,36.25,30.9786
36.5,0.013113,36.5,0.92483,36.5,2.63191,36.5,30.9828
36.75,0.013113,36.75,0.926738,36.75,2.6343,36.75,30.9921
37,0.013113,37,0.927691,37,2.63239,37,31.0014
37.25,0.013113,37.25,0.924354,37.25,2.63096,37.25,31.0057
37.5,0.013113,37.5,0.922446,37.5,2.62619,37.5,30.9943
37.75,0.013113,37.75,0.921016,37.75,2.62571,37.75,31.0591
38,0.013113,38,0.92483,38,2.62667,38,31.041
38.25,0.013113,38.25,0.922923,38.25,2.62714,38.25,31.0816
38.5,0.013113,38.5,0.921493,38.5,2.6281,38.5,31.0825
38.75,0.013113,38.75,0.920062,38.75,2.62714,38.75,31.0738
39,0.013113,39,0.923877,39,2.62524,39,31.0672
39.25,0.013113,39.25,0.921969,39.25,2.62667,39.25,31.0639
39.5,0.013113,39.5,0.9234,39.5,2.62762,39.5,31.0506
39.75,0.013113,39.75,0.922923,39.75,2.62834,39.75,31.0487
40,0.013113,40,0.923162,40,2.63,40,31.0944
40.25,0.013113,40.25,0.922923,40.25,2.62905,40.25,31.103
40.5,0.013113,40.5,0.9234,40.5,2.62428,40.5,31.0644
40.75,0.013113,40.75,0.921969,40.75,2.62476,40.75,31.0591
41,0.013113,41,0.922446,41,2.62905,41,31.0944
41.25,0.013113,41.25,0.9234,41.25,2.62905,41.25,31.1431
41.5,0.0135899,41.5,0.921969,41.5,2.63048,41.5,31.0949
41.75,0.013113,41.75,0.922923,41.75,2.63048,41.75,31.1264
42,0.0135899,42,0.921969,42,2.62762,42,31.0911
42.25,0.013113,42.25,0.922923,42.25,2.62619,42.25,31.0959
42.5,0.013113,42.5,0.9234,42.5,2.62524,42.5,31.0949
42.75,0.013113,42.75,0.922446,42.75,2.6281,42.75,31.0752
43,0.013113,43,0.921493,43,2.63048,43,31.0725
43.25,0.013113,43.25,0.921969,43.25,2.6281,43.25,31.0377
43.5,0.013113,43.5,0.922446,43.5,2.62476,43.5,31.0496
43.75,0.013113,43.75,0.922327,43.75,2.62857,43.75,31.0806
44,0.013113,44,0.922923,44,2.63,44,31.0954
44.25,0.013113,44.25,0.921969,44.25,2.6343,44.25,31.1364
44.5,0.013113,44.5,0.923877,44.5,2.63096,44.5,31.1402
44.75,0.013113,44.75,0.924354,44.75,2.63334,44.75,31.1297
45,0.013113,45,0.925307,45,2.63,45,31.1207
45.25,0.013113,45.25,0.925784,45.25,2.63382,45.25,31.1216
45.5,0.013113,45.5,0.926261,45.5,2.6343,45.5,31.0887
45.75,0.013113,45.75,0.929599,45.75,2.63763,45.75,31.062
46,0.013113,46,0.930552,46,2.63811,46,31.0243
46.25,0.013113,46.25,0.930552,46.25,2.6374,46.25,31.0386
46.5,0.013113,46.5,0.930552,46.5,2.63668,46.5,31.0525
46.75,0.013113,46.75,0.928645,46.75,2.63531,46.75,31.073
47,0.013113,47,0.927215,47,2.63334,47,31.0663
47.25,0.013113,47.25,0.927215,47.25,2.63382,47.25,31.1006
47.5,0.013113,47.5,0.926738,47.5,2.63144,47.5,31.1011
47.75,0.013113,47.75,0.925784,47.75,2.6343,47.75,31.1168
48,0.013113,48,0.926142,48,2.63096,48,31.1054
48.25,0.013113,48.25,0.925784,48.25,2.63144,48.25,31.0758
48.5,0.013113,48.5,0.926261,48.5,2.63048,48.5,31.0835
48.75,0.013113,48.75,0.927215,48.75,2.63048,48.75,31.1173
49,0.013113,49,0.925307,49,2.63048,49,31.0982
49.25,0.013113,49.25,0.926261,49.25,2.63525,49.25,31.0777
49.5,0.013113,49.5,0.928168,49.5,2.63239,49.5,31.1121
49.75,0.013113,49.75,0.929122,49.75,2.62762,49.75,31.1216
50,0.013113,50,0.928049,50,2.62762,50,31.1135
50.25,0.013113,50.25,0.926738,50.25,2.62965,50.25,31.1049
50.5,0.013113,50.5,0.928168,50.5,2.63048,50.5,31.1011
50.75,0.013113,50.75,0.925784,50.75,2.63287,50.75,31.1124
51,0.013113,51,0.926261,51,2.63096,51,31.1249
51.25,0.013113,51.25,0.926261,51.25,2.62857,51.25,31.1187
51.5,0.013113,51.5,0.925784,51.5,2.63239,51.5,31.1286
51.75,0.013113,51.75,0.925903,51.75,2.63096,51.75,31.1364
52,0.013113,52,0.925784,52,2.63477,52,31.1345
52.25,0.013113,52.25,0.925784,52.25,2.6343,52.25,31.1087
52.5,0.013113,52.5,0.925784,52.5,2.63239,52.5,31.1516
52.75,0.013113,52.75,0.92483,52.75,2.63,52.75,31.1311
53,0.013113,53,0.922923,53,2.63096,53,31.1578
53.25,0.0135899,53.25,0.926261,53.25,2.63382,53.25,31.1345
53.5,0.0135899,53.5,0.928168,53.5,2.63382,53.5,31.1583
53.75,0.013113,53.75,0.927215,53.75,2.63906,53.75,31.1526
54,0.013113,54,0.92483,54,2.63859,54,31.1555
54.25,0.013113,54.25,0.925307,54.25,2.63525,54.25,31.1159
54.5,0.0135899,54.5,0.923877,54.5,2.63334,54.5,31.1092
54.75,0.0135899,54.75,0.9234,54.75,2.63525,54.75,31.1249
55,0.0135899,55,0.924354,55,2.63191,55,31.1369
55.25,0.013113,55.25,0.924354,55.25,2.63,55.25,31.1433
55.5,0.013113,55.5,0.924711,55.5,2.62714,55.5,31.1536
55.75,0.013113,55.75,0.924443,55.75,2.63382,55.75,31.1578
56,0.0135899,56,0.924354,56,2.63811,56,31.1412
56.25,0.0135899,56.25,0.924354,56.25,2.63287,56.25,31.0935
56.5,0.013113,56.5,0.924354,56.5,2.63239,56.5,31.1354
56.75,0.0135899,56.75,0.924354,56.75,2.6362,56.75,31.1664
57,0.013113,57,0.9234,57,2.63859,57,31.1626
57.25,0.013113,57.25,0.922446,57.25,2.63668,57.25,31.1221
57.5,0.013113,57.5,0.9234,57.5,2.63334,57.5,31.1235
57.75,0.0135899,57.75,0.92483,57.75,2.63191,57.75,31.1416
58,0.0135899,58,0.926261,58,2.63501,58,31.176
58.25,0.013113,58.25,0.923877,58.25,2.63763,58.25,31.1388
58.5,0.0135899,58.5,0.922923,58.5,2.63716,58.5,31.1607
58.75,0.013113,58.75,0.926738,58.75,2.6362,58.75,31.1593
59,0.013113,59,0.925784,59,2.63811,59,31.1497
59.25,0.0135899,59.25,0.926738,59.25,2.63287,59.25,31.1288
59.5,0.013113,59.5,0.925784,59.5,2.6362,59.5,31.1502
59.75,0.0135899,59.75,0.925784,59.75,2.63811,59.75,31.1807
60,0.0135899,60,0.928168,60,2.63573,60,31.1598
60.25,0.0135899,60.25,0.929122,60.25,2.63775,60.25,31.1421
60.5,0.013113,60.5,0.926738,60.5,2.63859,60.5,31.1784
60.75,0.0135899,60.75,0.926738,60.75,2.63859,60.75,31.1574
61,0.013113,61,0.927215,61,2.63823,61,31.1874
61.25,0.0135899,61.25,0.927215,61.25,2.63763,61.25,31.207
61.5,0.013113,61.5,0.928168,61.5,2.63811,61.5,31.207
61.75,0.013113,61.75,0.928168,61.75,2.64145,61.75,31.1946
62,0.013113,62,0.927691,62,2.63954,62,31.1493
62.25,0.013113,62.25,0.927215,62.25,2.63716,62.25,31.1202
62.5,0.013113,62.5,0.927215,62.5,2.64145,62.5,31.1249
62.75,0.0135899,62.75,0.928168,62.75,2.6424,62.75,31.1392
63,0.0135899,63,0.929122,63,2.6405,63,31.1087
63.25,0.0135899,63.25,0.928168,63.25,2.64288,63.25,31.0849
