s1,µA1,s2,µA2,s3,µA3,s4,µA4,Sensor 1 y(0.1),Sensor 2 y(0.1),Sensor 3 y(0.1),Sensor 4 y(0.1),Sensor 1 y(0.01),Sensor 2 y(0.01),Sensor 3 y(0.01),Sensor 4 y(0.01),Sensor 1 y(0.001),Sensor 2 y(0.001),Sensor 3 y(0.001),Sensor 4 y(0.001)
0.0,0.000625,0.0,0.000625,0.0,0.000625,0.0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.00625,0.25,0.00625,0.25,0.00625,0.25,0.00625,0.0011250000000000001,0.0011250000000000001,0.0011250000000000001,0.0011250000000000001,0.000675,0.000675,0.000675,0.000675,0.00063,0.00063,0.00063,0.00063
0.5,0.0139869,0.5,0.0624018,0.5,0.0624018,0.5,0.0624018,0.00639869,0.011240180000000002,0.011240180000000002,0.011240180000000002,0.006264869,0.006749018000000001,0.006749018000000001,0.006749018000000001,0.0062514869,0.0062999018,0.0062999018,0.0062999018
0.75,0.0139595,0.75,0.624566,0.75,0.624566,0.75,0.624566,0.012585470000000001,0.11237804000000001,0.11237804000000001,0.11237804000000001,0.013846757,0.067399424,0.067399424,0.067399424,0.0139728857,0.0629015624,0.0629015624,0.0629015624
1.0,0.0139475,1.0,0.920084,1.0,1.47506,1.0,6.24957,0.01256235,0.5916612,0.6471588,1.1246098,0.013819785000000001,0.6212755199999999,0.6268252799999999,0.6745703799999999,0.013945528499999998,0.624236952,0.6247919279999999,0.6295664379999999
1.25,0.013113,1.25,0.916724,1.25,2.60712,1.25,31.0024,0.0124693,0.8277396,1.44076,8.099896000000001,0.01379968,0.9108495600000001,1.47163,6.4346026,0.013932718,0.919160556,1.474717,6.26807326
1.5,0.013113,1.5,0.916247,1.5,2.60616,1.5,31.0038,0.0118017,0.8250039,2.346312,27.9023,0.01298187,0.90755199,2.5810392,30.692390000000003,0.013099887,0.915806799,2.60451192,30.971399
1.75,0.013113,1.75,0.91434,1.75,2.60712,1.75,30.9845,0.0118017,0.8244316,2.3456400000000004,27.901490000000003,0.01298187,0.90706546,2.5801079999999996,30.693569,0.013099887,0.915328846,2.6035548,30.972776899999996
2.0,0.013113,2.0,0.919108,2.0,2.60855,2.0,30.9709,0.0118017,0.8233828000000001,2.3465510000000003,27.88469,0.01298187,0.90524428,2.5810631,30.674519,0.013099887,0.9134304280000001,2.6045143100000003,30.953501900000003
2.25,0.013113,2.25,0.916724,2.25,2.60831,2.25,30.9609,0.0118017,0.8269588000000001,2.347671,27.87281,0.01298187,0.90989308,2.5824621,30.661091,0.013099887,0.9181865080000001,2.60594121,30.9399191
2.5,0.013113,2.5,0.917678,2.5,2.60902,2.5,30.9435,0.0118017,0.825147,2.34755,27.86307,0.01298187,0.9075662999999999,2.5822339999999997,30.651116999999996,0.013099887,0.91580823,2.6057024,30.929921699999998
2.75,0.013113,2.75,0.917201,2.75,2.60855,2.75,30.9213,0.0118017,0.8258625,2.3480710000000005,27.84693,0.01298187,0.90849645,2.5829251,30.633843,0.013099887,0.916759845,2.6064105100000003,30.9125343
3.0,0.013113,3.0,0.916724,3.0,2.60914,3.0,30.9209,0.0118017,0.8254332000000001,2.347754,27.82913,0.01298187,0.90802422,2.5824704,30.612083,0.013099887,0.916283322,2.60594204,30.8903783
3.25,0.013113,3.25,0.917201,3.25,2.6095,3.25,30.9757,0.0118017,0.8250993,2.348262,27.83429,0.01298187,0.90756153,2.5830522,30.612239,0.013099887,0.9158077530000001,2.60653122,30.8900339
3.5,0.013113,3.5,0.91434,3.5,2.6095,3.5,30.9938,0.0118017,0.8251948000000001,2.3485500000000004,27.879939999999998,0.01298187,0.90800038,2.583405,30.666124,0.013099887,0.916280938,2.6068905,30.9447424
3.75,0.013113,3.75,0.915294,3.75,2.6089,3.75,30.9695,0.0118017,0.8230014,2.3484900000000004,27.89199,0.01298187,0.90520614,2.583399,30.683619,0.013099887,0.913426614,2.6068899,30.9627819
4.0,0.013113,4.0,0.91434,4.0,2.60855,4.0,30.9542,0.0118017,0.8236692000000001,2.3479750000000004,27.87102,0.01298187,0.9061315200000001,2.5828075000000004,30.659651999999998,0.013099887,0.914377752,2.6062907500000003,30.938515199999998
4.25,0.013113,4.25,0.915771,4.25,2.60807,4.25,30.938,0.0118017,0.8230491,2.3476470000000003,27.85716,0.01298187,0.90521091,2.5824597,30.644496,0.013099887,0.9134270910000001,2.60594097,30.9232296
4.5,0.013113,4.5,0.917201,4.5,2.60855,4.5,30.9156,0.0118017,0.8243369,2.3473110000000004,27.84196,0.01298187,0.90662759,2.5819941,30.628396,0.013099887,0.914856659,2.6054624100000003,30.9070396
4.75,0.013113,4.75,0.915294,4.75,2.61093,4.75,30.9309,0.0118017,0.8252902000000001,2.3479330000000003,27.82557,0.01298187,0.90800992,2.5824883,30.606597,0.013099887,0.916281892,2.60594383,30.884699700000002
5.0,0.013113,5.0,0.915294,5.0,2.60855,5.0,30.9514,0.0118017,0.8237646000000001,2.3495990000000004,27.83986,0.01298187,0.90614106,2.5847969,30.621796000000003,0.013099887,0.914378706,2.60831669,30.8999896
5.25,0.013113,5.25,0.91589,5.25,2.60998,5.25,30.9161,0.0118017,0.8238242,2.3478380000000003,27.852729999999998,0.01298187,0.90614702,2.5824788,30.641533,0.013099887,0.9143793020000001,2.60594288,30.9204133
5.5,0.013113,5.5,0.916724,5.5,2.6095,5.5,30.9938,0.0118017,0.8243843999999999,2.3489340000000003,27.83226,0.01298187,0.9067394400000001,2.5838754,30.607716,0.013099887,0.9149749439999999,2.60736954,30.8852616
5.75,0.013113,5.75,0.916247,5.75,2.60998,5.75,31.0234,0.0118017,0.8250039,2.3485980000000004,27.89738,0.01298187,0.90755199,2.5834098,30.684158,0.013099887,0.915806799,2.60689098,30.9628358
6.0,0.013113,6.0,0.917678,6.0,2.60664,6.0,30.9833,0.0118017,0.8247654,2.3486480000000003,27.91705,0.01298187,0.90709884,2.5838468000000003,30.712764999999997,0.013099887,0.915332184,2.60736668,30.9923365
6.25,0.013113,6.25,0.915294,6.25,2.60998,6.25,31.001,0.0118017,0.8256718000000001,2.3463100000000003,27.88674,0.01298187,0.90847738,2.580607,30.673644,0.013099887,0.916757938,2.6040367,30.9523344
6.5,0.013113,6.5,0.916247,6.5,2.61332,6.5,31.0272,0.0118017,0.8238599000000001,2.3493160000000004,27.90352,0.01298187,0.9061505900000001,2.5839136000000003,30.691252,0.013099887,0.9143796590000001,2.6073733600000004,30.970025200000002
6.75,0.013113,6.75,0.916724,6.75,2.61332,6.75,31.0353,0.0118017,0.82467,2.351988,27.925290000000004,0.01298187,0.9070893,2.5871868,30.717009,0.013099887,0.91533123,2.61070668,30.9961809
7.0,0.013113,7.0,0.916247,7.0,2.61713,7.0,31.0291,0.0118017,0.8250039,2.352369,27.93115,0.01298187,0.90755199,2.5872249,30.724885,0.013099887,0.915806799,2.6107104899999998,31.0042585
7.25,0.013113,7.25,0.915771,7.25,2.61475,7.25,31.0281,0.0118017,0.8245747,2.355179,27.926090000000002,0.01298187,0.90707977,2.5909348999999997,30.718799,0.013099887,0.915330277,2.61451049,30.998069899999997
7.5,0.013113,7.5,0.91732,7.5,2.61761,7.5,30.9528,0.0118017,0.8243488,2.353561,27.91776,0.01298187,0.90662878,2.5886310999999997,30.717066,0.013099887,0.9148567780000001,2.6121381099999996,30.9969966
7.75,0.013113,7.75,0.919108,7.75,2.61761,7.75,30.9061,0.0118017,0.8257668,2.355849,27.85285,0.01298187,0.9081646800000001,2.5914339,30.642805,0.013099887,0.916404468,2.61499239,30.9218005
8.0,0.013113,8.0,0.918155,8.0,2.61713,8.0,30.9113,0.0118017,0.8271019000000001,2.355801,27.816010000000002,0.01298187,0.90990739,2.5914291,30.597091,0.013099887,0.9181879390000001,2.6149919099999996,30.8751991
8.25,0.013113,8.25,0.919585,8.25,2.61332,8.25,31.0038,0.0118017,0.8264825000000001,2.355036,27.82942,0.01298187,0.9089877500000001,2.5909206,30.603112,0.013099887,0.917238275,2.61450906,30.880481200000002
8.5,0.013113,8.5,0.917201,8.5,2.61665,8.5,31.0405,0.0118017,0.8273881000000001,2.352321,27.90709,0.01298187,0.91036531,2.5872201,30.694129,0.013099887,0.918663031,2.61071001,30.972832899999997
8.75,0.013113,8.75,0.918632,8.75,2.60902,8.75,31.0334,0.0118017,0.825624,2.354222,27.93574,0.01298187,0.9080433,2.5904072,30.730024000000004,0.013099887,0.9162852300000001,2.61402572,31.0094524
9.0,0.013113,9.0,0.918632,9.0,2.60998,9.0,31.0324,0.0118017,0.8267688,2.3482140000000005,27.92996,0.01298187,0.90944568,2.5829394,30.723056,0.013099887,0.917713368,2.60641194,31.0023656
9.25,0.013113,9.25,0.918632,9.25,2.60902,9.25,31.0467,0.0118017,0.8267688,2.3488860000000003,27.93059,0.01298187,0.90944568,2.5838706000000005,30.722219,0.013099887,0.917713368,2.6073690600000003,31.0013819
9.5,0.013113,9.5,0.917082,9.5,2.61022,9.5,31.0491,0.0118017,0.8266138,2.3482380000000003,27.94227,0.01298187,0.9094301800000001,2.5829418,30.736257000000002,0.013099887,0.917711818,2.60641218,31.0156557
9.75,0.013113,9.75,0.915294,9.75,2.6095,9.75,31.0591,0.0118017,0.8251949999999999,2.349126,27.94519,0.01298187,0.9078932999999999,2.5841106,30.738709,0.013099887,0.91616313,2.6076090599999997,31.0180609
10.0,0.013113,10.0,0.915771,10.0,2.61236,10.0,31.0544,0.0118017,0.8238123,2.3488360000000004,27.952720000000003,0.01298187,0.90614583,2.5834335999999998,30.748462000000004,0.013099887,0.9143791830000001,2.60689336,31.0280362
10.25,0.013113,10.25,0.915771,10.25,2.61427,10.25,31.0377,0.0118017,0.8241939,2.351315,27.947290000000002,0.01298187,0.90661329,2.5862554999999996,30.743689,0.013099887,0.914855229,2.6097495499999996,31.023328900000003
10.5,0.013113,10.5,0.916247,10.5,2.61332,10.5,31.0148,0.0118017,0.8242415000000001,2.352748,27.93164,0.01298187,0.9066180500000001,2.5881178,30.727094,0.013099887,0.914855705,2.61165478,31.0066394
10.75,0.013113,10.75,0.918632,10.75,2.61475,10.75,31.0157,0.0118017,0.8248608000000001,2.352131,27.913410000000002,0.01298187,0.90710838,2.5872011,30.704660999999998,0.013099887,0.915333138,2.61070811,30.9837861
