Sensor,Segment,Alpha,Min Value,Max Value
Sensor 1,1,0.1,0.0,0.01258547
Sensor 1,2,0.1,0.0118017,0.0118017
Sensor 1,3,0.1,0.0118017,0.0118017
Sensor 1,4,0.1,0.0118017,0.0118017
Sensor 1,5,0.1,0.0118017,0.0118017
Sensor 1,6,0.1,0.0118017,0.0118017
Sensor 1,7,0.1,0.0118017,0.0118017
Sensor 1,8,0.1,0.0118017,0.0118017
Sensor 1,9,0.1,0.0118017,0.0118017
Sensor 1,10,0.1,0.0118017,0.0118017
Sensor 1,1,0.01,0.0,0.013846757
Sensor 1,2,0.01,0.01298187,0.01298187
Sensor 1,3,0.01,0.01298187,0.01298187
Sensor 1,4,0.01,0.01298187,0.01298187
Sensor 1,5,0.01,0.01298187,0.01298187
Sensor 1,6,0.01,0.01298187,0.01298187
Sensor 1,7,0.01,0.01298187,0.01298187
Sensor 1,8,0.01,0.01298187,0.01298187
Sensor 1,9,0.01,0.01298187,0.01298187
Sensor 1,10,0.01,0.01298187,0.01298187
Sensor 1,1,0.001,0.0,0.0139728857
Sensor 1,2,0.001,0.013099887,0.013099887
Sensor 1,3,0.001,0.013099887,0.013099887
Sensor 1,4,0.001,0.013099887,0.013099887
Sensor 1,5,0.001,0.013099887,0.013099887
Sensor 1,6,0.001,0.013099887,0.013099887
Sensor 1,7,0.001,0.013099887,0.013099887
Sensor 1,8,0.001,0.013099887,0.013099887
Sensor 1,9,0.001,0.013099887,0.013099887
Sensor 1,10,0.001,0.013099887,0.013099887
Sensor 2,1,0.1,0.0,0.8277396
Sensor 2,2,0.1,0.8230014,0.8258625
Sensor 2,3,0.1,0.8237646000000001,0.8256718000000001
Sensor 2,4,0.1,0.8243488,0.8273881000000001
Sensor 2,5,0.1,0.8238123,0.8350173999999999
Sensor 2,6,0.1,0.8248608000000001,0.8288428
Sensor 2,7,0.1,0.8243369,0.8268164
Sensor 2,8,0.1,0.8264348000000001,0.828342
Sensor 2,9,0.1,0.8277219,0.8314416
Sensor 2,10,0.1,0.8264348000000001,0.8288667
Sensor 2,1,0.01,0.0,0.91084956
Sensor 2,2,0.01,0.90520614,0.90849645
Sensor 2,3,0.01,0.90614106,0.90847738
Sensor 2,4,0.01,0.90662878,0.91036531
Sensor 2,5,0.01,0.90614583,0.91885294
Sensor 2,6,0.01,0.90710838,0.91179868
Sensor 2,7,0.01,0.90662759,0.90945044
Sensor 2,8,0.01,0.90898298,0.9113193
Sensor 2,9,0.01,0.91039869,0.91463346
Sensor 2,10,0.01,0.90898298,0.91180107
Sensor 2,1,0.001,0.0,0.919160556
Sensor 2,2,0.001,0.913426614,0.916759845
Sensor 2,3,0.001,0.914378706,0.916757938
